CODE,DESCRIPTION,TYPE
0,Прорастание,PS
00,Сухое зерно,SS
01,Начало поглощения воды,SS
03,Конец поглощения воды,SS
05,Появление кончика зародышевого корешка,SS
06,"Зародышевый корешок растягивается, корневые волоски и/или боковые корни видны",SS
07,Появление кончика зародышевого влагалища (колеоптиля),SS
09,Всходы: колеоптиль выходит на поверхность почвы,SS
1,Развитие листьев,PS
10,Первый лист выходит из колеоптиля,SS
11,Первый лист развёрнут,SS
12,Второй лист развёрнут,SS
13,Третий лист развёрнут,SS
14,ETC,SS
15,ETC,SS
16,ETC,SS
17,ETC,SS
18,ETC,SS
19,Девять или более листьев развёрнуты,SS
2,Кущение,PS
20,Кущения нет,SS
21,"Начало кущения, появляется первый побег",SS
22,Появляется второй побег,SS
23,Появляется третий побег,SS
24,ETC,SS
25,ETC,SS
26,ETC,SS
27,ETC,SS
28,ETC,SS
29,"Конец кущения, максимальное количество побегов",SS
3,Выход в трубку,PS
30,"Начало выхода в трубку: главный и боковые побеги вертикальные, начинают удлиняться. Расстояние соцветия от узла кущения не менее 1 см",SS
31,"Первый узел виден, не менее 1 см над поверхностью земли",SS
32,"Второй узел виден, расстояние от первого не менее 2 см",SS
33,"Третий узел виден, расстояние от второго не менее 2 см",SS
34,ETC,SS
35,ETC,SS
36,ETC,SS
37,Появление свёрнутого последнего листа (флагового),SS
39,"Стадия флагового листа: флаговый лист полностью развёрнут, виден язычок",SS
4,Набухание,PS
41,Стадия раннего набухания: удлинение влагалища флагового листа,SS
43,Стадия среднего набухания: влагалище флагового листа начинает набухать,SS
45,Стадия позднего набухания: влагалище флагового листа набухло,SS
47,Влагалище флагового листа открывается,SS
49,Над язычком флагового листа появляются ости,SS
5,Появление соцветий,PS
51,Начало появления соцветия. Верхняя часть колоса или метелки видна,SS
52,Появление 20% соцветия,SS
53,Появление 30% соцветия,SS
54,Появление 40% соцветия,SS
55,Появление половины соцветия. Нижняя часть еще в листовом влагалище,SS
56,Появление 60% соцветия,SS
57,Появление 70% соцветия,SS
58,Появление 80% соцветия,SS
59,"Появление всего соцветия, колос или метелка полностью видны",SS
6,Цветение,PS
61,Начало цветения: видны первые тычинки,SS
65,Полное цветение: 50% зрелых тычинок,SS
69,"Конец цветения: все колоски закончили цветение, но могут остаться обезвоженные тычинки",SS
7,Образование зёрен,PS
71,Водянистая спелость: первые зёрна достигают половины своего размера,SS
73,Ранняя молочная спелость,SS
75,"Средняя молочная спелость: все зерна достигли своего окончательного размера, они еще зеленые и содержание их молочное",SS
77,Поздняя молочная спелость,SS
8,Созревание зёрен,PS
83,Ранняя восковая спелость,SS
85,"Мягкая восковая спелость: содержание зерен еще мягкое, но сухое (вмятина от ногтя выпрямляется)",SS
87,Твердая восковая спелость (вмятина от ногтя не выпрямляется),SS
89,"Ранняя полная спелость: зерно твердое, только с трудом разрезается ногтем большого пальца",SS
9,Отмирание,PS
92,"Поздняя полная спелость. Зерно твердое, не разрезается ногтем большого пальца",SS
93,Зерно сидит рыхло в колоске в дневное время,SS
97,Растение полностью отмершее. Соломина ломается,SS
99,Собранный урожай зерна,SS